00516bb0	'package.preload' must be a table
00516bd4	\n	no field package.preload['%s']
00516bf8	loop or previous error loading module '%s'
00516c24	loaders
00516c2c	'package.loaders' must be a table
00516c50	module '%s' not found:%s
00516c6c	'module' not called from a Lua function
00516c98	_NAME
00516ca0	_PACKAGE
00516cb8	.\?.lua;!\lua\?.lua;!\lua\?\init.lua;!\?.lua;!\?\init.lua
00516cf4	LUA_PATH
00516d00	.\?.dll;!\?.dll;!\loadall.dll
00516d20	LUA_CPATH
00516d2c	\\n;\n?\n!\n-
00516d38	config
00516d40	loaded
00516d48	(null)
00516d5c	[string "
00516d6c	VARARG
00516d74	CLOSURE
00516d7c	CLOSE
00516d84	SETLIST
00516d8c	TFORLOOP
00516d98	FORPREP
00516da0	FORLOOP
00516da8	RETURN
00516db0	TAILCALL
00516dc4	TESTSET
00516de4	CONCAT
00516e14	NEWTABLE
00516e20	SETTABLE
00516e2c	SETUPVAL
00516e38	SETGLOBAL
00516e44	GETTABLE
00516e50	GETGLOBAL
00516e5c	GETUPVAL
00516e68	LOADNIL
00516e70	LOADBOOL
00516e7c	LOADK
00516e8c	tmpname
00516e94	setlocale
00516ea0	rename
00516ea8	remove
00516eb0	getenv
00516ec0	execute
00516ec8	difftime
00516edc	clock
00516eec	numeric
00516ef4	monetary
00516f00	ctype
00516f08	collate
00516f14	unable to generate a unique filename
00516f3c	field '%s' missing in date table
00516f74	month
00516f94	isdst
00516f9c	'%s' expected
00516fac	main function has more than %d %s
00516fd0	function at line %d has more than %d %s
00516ff8	'%s' expected (to close '%s' at line %d)
00517024	too many local variables
00517040	local variables
00517050	upvalues
0051705c	chunk has too many syntax levels
00517080	items in a constructor
0051709c	<name> or '...' expected
005170c0	ambiguous syntax (function call x new statement)
005170f4	function arguments expected
00517110	unexpected symbol
00517124	cannot use '...' outside a vararg function
00517150	syntax error
00517160	variables in assignment
00517178	no loop to break
0051718c	(for index)
00517198	(for limit)
005171a4	(for step)
005171b0	(for generator)
005171c0	(for state)
005171cc	(for control)
005171dc	'=' or 'in' expected
005171f4	upper
00517200	reverse
0051720c	match
00517214	lower
00517228	gmatch
00517230	gfind
00517238	format
00517260	string slice too long
00517278	invalid value
00517288	unable to dump given function
005172a8	invalid capture index
005172c0	invalid pattern capture
005172d8	malformed pattern (ends with '%%')
005172fc	malformed pattern (missing ']')
0051731c	unbalanced pattern
00517330	too many captures
00517344	missing '[' after '%%f' in pattern
00517368	unfinished capture
0051737c	^$*+?.([%-
00517388	'string.gfind' was renamed to 'string.gmatch'
005173b8	invalid replacement value (a %s)
005173dc	string/function/table expected
00517408	-+ #0
00517410	invalid format (repeated flags)
00517430	invalid format (width or precision too long)
00517460	invalid option '%%%c' to 'format'
00517484	invalid key to 'next'
0051749c	table overflow
005174ac	table index is nil
005174c0	table index is NaN
005174e4	insert
005174fc	foreachi
00517508	foreach
00517510	concat
00517518	'setn' is obsolete
0051752c	wrong number of arguments to 'insert'
00517554	invalid value (%s) at index %d in table for 'concat'
0051758c	invalid order function for sorting
005175b0	__call
005175b8	__concat
005175d4	__len
005175dc	__unm
005175e4	__pow
005175ec	__mod
005175f4	__div
005175fc	__mul
00517604	__sub
0051760c	__add
0051761c	__newindex
00517628	upval
00517630	proto
00517638	thread
00517640	number
00517648	userdata
00517654	boolean
0051765c	%s: %s in precompiled chunk
00517678	unexpected end
00517688	bad integer
00517694	bad constant
005176a4	code too deep
005176b4	bad code
005176c0	bad header
005176cc	binary string
005176e0	index
005176e8	loop in gettable
005176fc	loop in settable
00517710	string length overflow
00517728	get length of
00517738	'for' initial value must be a number
00517760	'for' limit must be a number
00517780	'for' step must be a number
005177a0	Player 1 Up
005177ac	Player 1 Down
005177bc	Player 1 Left
005177cc	Player 1 Right
005177dc	Player 1 Button 1
005177f0	Player 1 Button 2
00517804	Player 1 Button 3
00517818	Player 1 Button 4
0051782c	Player 1 Start
0051783c	Player 1 Coin
0051784c	Player 2 Up
00517858	Player 2 Down
00517868	Player 2 Left
00517878	Player 2 Right
00517888	Player 2 Button 1
0051789c	Player 2 Button 2
005178b0	Player 2 Button 3
005178c4	Player 2 Button 4
005178d8	Player 2 Start
005178e8	Player 2 Coin
005178f8	Service
00517908	Show render stats
0051791c	Toggle tilemap render
00517934	Cycle Tilemap update rate
00517950	Left Stick Up
00517960	Left Stick Down
00517970	Left Stick Left
00517980	Left Stick Right
00517994	Left Stick Trigger
005179a8	Left Stick Button
005179bc	Right Stick Up
005179cc	Right Stick Down
005179e0	Right Stick Left
005179f4	Right Stick Right
00517a08	Right Stick Trigger
00517a1c	Right Stick Button
00517a30	Player 1 Trigger
00517a44	Player 1 Missile
00517a58	Player 2 Trigger
00517a6c	Player 2 Missile
00517a80	Steering
00517a8c	Accelerate
00517a98	Brake
00517aa0	Button 1
00517aac	Button 2
00517ab8	Button 3
00517ac4	Button 4
00517ad8	Curving
00517ae0	Slide
00517ae8	Jump Front
00517af4	Jump Tail
00517b00	Select Left
00517b0c	Select Right
00517b1c	Swing Left
00517b28	Swing Right
00517b34	Incl Left
00517b40	Incl Right
00517b4c	Inclining
00517b58	Swing
00517b60	Zoom Out
00517b6c	Zoom In
00517b74	Select 1
00517b80	Select 2
00517b8c	Select 3
00517b98	Roll Left
00517ba4	Roll Right
00517bb0	Handle Left
00517bbc	Handle Right
00517bcc	Throttle
00517bd8	Handle
00517bf0	Select Up
00517bfc	Select Down
00517c08	Slide Left
00517c14	Slide Right
00517c24	Pitch Left
00517c30	Pitch Right
00517c3c	Steer Left
00517c48	Steer Right
00517c54	Turret Up
00517c60	Turret Down
00517c6c	Accel +
00517c74	Accel -
00517c7c	Turret
00517c84	Accelerator
00517c90	Shift
00517c98	Machine Gun
00517ca4	Cannon
00517cac	VR1 (Blue)
00517cb8	VR2 (Green)
00517cc4	VR3 (Red)
00517cd0	Coin 2
00517cd8	Shift 1
00517ce0	Shift 2
00517ce8	Shift 3
00517cf0	Shift 4
00517cf8	Shift Neutral
00517d28	Coin 1
00517d30	Test 2
00517d38	Horizontal
00517d44	Vertical
00517d50	Machine gun
00517d5c	Missile
00517d64	View Change
00517d70	Shift Up
00517d7c	Shift Down
00517d9c	Punch
00517da4	Player 1 Bat
00517db4	Player 1 Bat +
00517dc4	Player 1 Bat -
00517dd4	Player 2 Bat
00517de4	model2
00517dec	Model2 Board Roms
00517e00	Model 2
00517e08	opr-14742a.45
00517e18	opr-14743a.46
00517e28	opr-14744.58
00517e38	opr-14745.59
00517e48	opr-14746.62
00517e58	opr-14747.63
00517e68	mpr-16310.15
00517e78	mpr-16311.16
00517e88	mpr-16312.14
00517e98	zerogun
00517ea0	Zero Gunner (Model 2B)
00517eb8	Model 2B
00517ec4	epr-20439.15
00517ed4	epr-20440.16
00517ee4	mpr-20296.11
00517ef4	mpr-20297.12
00517f04	mpr-20294.9
00517f10	mpr-20295.10
00517f20	mpr-20298.17
00517f30	mpr-20299.21
00517f40	mpr-20301.27
00517f50	mpr-20300.25
00517f60	epr-20302.31
00517f70	mpr-20303.32
00517f80	mpr-20304.33
00517f90	zerogunj
00517f9c	Zero Gunner (Jap, Model 2B)
00517fb8	epr-20290.15
00517fc8	epr-20291.16
00517fd8	zeroguna
00517fe4	Zero Gunner (Model 2A)
00517ffc	Model 2A
00518008	epr-20437.12
00518018	epr-20438.13
00518028	zerogunaj
00518034	Zero Gunner (Jap, Model 2A)
00518050	epr-20288.12
00518060	epr-20289.13
00518070	gunblade
0051807c	Gunblade NY
00518088	epr-18988a.15
00518098	epr-18989a.16
005180a8	mpr-18974.11
005180b8	mpr-18975.12
005180c8	mpr-18976.9
005180d4	mpr-18977.10
005180e4	mpr-18986.29
